databaseId	name	imageUrl	cardBack	type	subtype	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	encounterNumber	unique	permanent	starting	exceptional	myriad	faction	traits	side	xp	cost	skillWillpower	skillIntellect	skillCombat	skillAgility	skillWild	health	healthPerInvestigator	sanity	uses	enemyDamage	enemyHorror	enemyFight	enemyEvade	shroud	doom	clues	cluesFixed	victoryPoints	vengeance	stage	parallelContent	code	tabooId	tabooName	tabooXp	action	reaction	free	hasBonded	concealed	concealedId	text
01000	Random Basic Weakness	https://dragncards-ahlcg.s3.amazonaws.com/images/card_images/random_basic_weakness.webp	Player Card	Treachery	Basic Weakness	Core Set	1	core	1000			0	0	0	0	0	Neutral.											0										0				0	01000	0	None	0	0	0	0	0	0		
chaos_p1	+1	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/p1.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_p1	0	None	0	0	0	0	0	0		
chaos_p1	+1	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/p1.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_p1	0	None	0	0	0	0	0	0		
chaos_p0	0	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/p0.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_p0	0	None	0	0	0	0	0	0		
chaos_p0	0	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/p0.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_p0	0	None	0	0	0	0	0	0		
chaos_m1	-1	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m1.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m1	0	None	0	0	0	0	0	0		
chaos_m1	-1	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m1.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m1	0	None	0	0	0	0	0	0		
chaos_m2	-2	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m2.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m2	0	None	0	0	0	0	0	0		
chaos_m2	-2	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m2.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m2	0	None	0	0	0	0	0	0		
chaos_m3	-3	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m3.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m3	0	None	0	0	0	0	0	0		
chaos_m3	-3	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m3.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m3	0	None	0	0	0	0	0	0		
chaos_m4	-4	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m4.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m4	0	None	0	0	0	0	0	0		
chaos_m4	-4	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m4.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m4	0	None	0	0	0	0	0	0		
chaos_m5	-5	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m5.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m5	0	None	0	0	0	0	0	0		
chaos_m5	-5	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m5.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m5	0	None	0	0	0	0	0	0		
chaos_m6	-6	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m6.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m6	0	None	0	0	0	0	0	0		
chaos_m6	-6	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m6.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m6	0	None	0	0	0	0	0	0		
chaos_m7	-7	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m7.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m7	0	None	0	0	0	0	0	0		
chaos_m7	-7	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m7.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m7	0	None	0	0	0	0	0	0		
chaos_m8	-8	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m8.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_m8	0	None	0	0	0	0	0	0		
chaos_m8	-8	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/m8.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_m8	0	None	0	0	0	0	0	0		
chaos_elder_sign	Elder Sign	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/elder_sign.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_elder_sign	0	None	0	0	0	0	0	0		
chaos_elder_sign	Elder Sign	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/elder_sign.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_elder_sign	0	None	0	0	0	0	0	0		
chaos_auto_fail	Auto Fail	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/auto_fail.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_auto_fail	0	None	0	0	0	0	0	0		
chaos_auto_fail	Auto Fail	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/auto_fail.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_auto_fail	0	None	0	0	0	0	0	0		
chaos_cultist	Cultist	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/cultist.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_cultist	0	None	0	0	0	0	0	0		
chaos_cultist	Cultist	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/cultist.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_cultist	0	None	0	0	0	0	0	0		
chaos_elder_thing	Elder Thing	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/elder_thing.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_elder_thing	0	None	0	0	0	0	0	0		
chaos_elder_thing	Elder Thing	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/elder_thing.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_elder_thing	0	None	0	0	0	0	0	0		
chaos_skull	Skull	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/skull.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_skull	0	None	0	0	0	0	0	0		
chaos_skull	Skull	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/skull.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_skull	0	None	0	0	0	0	0	0		
chaos_tablet	Tablet	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/tablet.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	chaos_tablet	0	None	0	0	0	0	0	0		
chaos_tablet	Tablet	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/tablet.webp	multi_sided	ChaosToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	chaos_tablet	0	None	0	0	0	0	0	0		
chaos_bless	Bless	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/bless.webp	multi_sided	ChaosToken		The Innsmouth Conspiracy	0	tic				0	0	0	0	0			A									0										0				0	chaos_bless	0	None	0	0	0	0	0	0		
chaos_bless	Bless	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/bless.webp	multi_sided	ChaosToken		The Innsmouth Conspiracy	0	tic				0	0	0	0	0			B									0										0				0	chaos_bless	0	None	0	0	0	0	0	0		
chaos_curse	Curse	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/curse.webp	multi_sided	ChaosToken		The Innsmouth Conspiracy	0	tic				0	0	0	0	0			A									0										0				0	chaos_curse	0	None	0	0	0	0	0	0		
chaos_curse	Curse	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/curse.webp	multi_sided	ChaosToken		The Innsmouth Conspiracy	0	tic				0	0	0	0	0			B									0										0				0	chaos_curse	0	None	0	0	0	0	0	0		
chaos_frost	Frost	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/frost.webp	multi_sided	ChaosToken		Edge of the Earth Campaign Expansion	0	eoec				0	0	0	0	0			A									0										0				0	chaos_frost	0	None	0	0	0	0	0	0		
chaos_frost	Frost	https://dragncards-ahlcg.s3.amazonaws.com/images/chaos_tokens/frost.webp	multi_sided	ChaosToken		Edge of the Earth Campaign Expansion	0	eoec				0	0	0	0	0			B									0										0				0	chaos_frost	0	None	0	0	0	0	0	0		
first_investigator	Lead Investigator	https://dragncards-ahlcg.s3.amazonaws.com/images/tokens/first_investigator.webp	multi_sided	FirstInvestigatorToken		Core Set	0	core				0	0	0	0	0			A									0										0				0	first_investigator	0	None	0	0	0	0	0	0		
first_investigator	Lead Investigator	https://dragncards-ahlcg.s3.amazonaws.com/images/tokens/first_investigator.webp	multi_sided	FirstInvestigatorToken		Core Set	0	core				0	0	0	0	0			B									0										0				0	first_investigator	0	None	0	0	0	0	0	0		
token_resource_1	1 Resource	https://dragncards-ahlcg.s3.amazonaws.com/images/standard_tokens/resource1.webp	multi_sided	StandardTokenResource1		Core Set	0	core				0	0	0	0	0			A									0										0				0	token_resource_1	0	None	0	0	0	0	0	0		
token_resource_1	1 Resource	https://dragncards-ahlcg.s3.amazonaws.com/images/standard_tokens/resource1.webp	multi_sided	StandardTokenResource1		Core Set	0	core				0	0	0	0	0			B									0										0				0	token_resource_1	0	None	0	0	0	0	0	0		
token_resource_3	3 Resources	https://dragncards-ahlcg.s3.amazonaws.com/images/standard_tokens/resource3.webp	multi_sided	StandardTokenResource3		Core Set	0	core				0	0	0	0	0			A									0										0				0	token_resource_3	0	None	0	0	0	0	0	0		
token_resource_3	3 Resources	https://dragncards-ahlcg.s3.amazonaws.com/images/standard_tokens/resource3.webp	multi_sided	StandardTokenResource3		Core Set	0	core				0	0	0	0	0			B									0										0				0	token_resource_3	0	None	0	0	0	0	0	0		
